municipality,unit,producer,sector,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10
Akaa,Akaan Hoivapalvelu,Akaan Hoivapalvelu Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,5.50,1.63
Akaa,Kotihoitoyksikön Toijalan ja Viialan palvelualue,Akaa,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Ei,Ei,42.50,31.47
Akaa,Palvelualueet 3-4,Akaa,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,29.80,30.49
Alajärvi,Kotihoito,Järvi-Pohjanmaan yta,Julkinen,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,63.50,57.08
Alavieska,Alavieskan kotihoito,Peruspalveluky Kallio,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Kyllä,7.95,5.54
Alavus,Kotihoito,Alavus,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,53.00,47.55
Asikkala,Asikkalan kotihoito,Peruspalvelukeskus Oiva,Julkinen,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,26.00,23.64
Asikkala,Kotipalvelut Eija Bouras Oy,Kotipalvelut Eija Bouras Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Ei yhtäkään,Joskus,Kyllä,Ei,Ei,8.20,4.57
Askola,Askolan kotihoito,Askola,Julkinen,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Kyllä,17.60,12.41
Aura,Kotihoito,Aura,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Kyllä,Ei,7.80,8.58
Enonkoski,Kotipalvelu,Enonkoski,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,7.40,4.97
Enontekiö,"Kotisairaanhoito, Enontekiö",Muonion-Enontekiön ktt.ky,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Jatkuvasti,Kyllä,Kyllä,Ei,4.80,1.01
