Yksikkö,Tuottaja,Sijainti,Sektori,Palvelutyyppi,Palvelu eri vuorokauden aikoina: Arki - yö,Palvelu eri vuorokauden aikoina: Viikonloppu - yö,Mahdollisuus osallistua hyvinvointia ja terveyttä edistävään toimintaan: Saada tukea ulkoiluun viikoittain,Mahdollisuus osallistua hyvinvointia ja terveyttä edistävään toimintaan:  Järjestetty mielekästä tekemistä ja harrastusmahdollisuuksia,Sijaisten järjestämisen onnistuminen: Sijaisia vaikea saada,Erillinen kotihoitoa tukeva: Kotiutustiimi,Erillinen kotihoitoa tukeva: Kuntoutustiimi,Erillinen kotihoitoa tukeva: Saattohoitotiimi,"Suunniteltu hoivatyöhön osallistuva henkilöstö, vakanssit","Toteutunut hoivatyöhön osallistuva henkilöstö, vakanssit työtunneista laskettuna"
"Kotisairaanhoito, Hausjärvi",Riihimäen seudun terveyskeskuksen kuntayhtymä,Hausjärvi,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"4,25","4,16"
Ariel Hoiva- ja Terveyspalvelut ,Ariel Hoiva- ja Terveyspalvelut ,Äänekoski,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"1,90","1,49"
"Kotihoito, Konginkankaan alue",Äänekoski,Äänekoski,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Kyllä,Ei,Ei,"8,90","5,44"
"Kotihoito, Sumisaisten alue",Äänekoski,Äänekoski,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Kyllä,Ei,Ei,"6,90","4,36"
"Kotihoito, Suolahden alue",Äänekoski,Äänekoski,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Kyllä,Ei,Ei,"15,80","14,06"
"Kotihoito, Äänekosken alue",Äänekoski,Äänekoski,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Kyllä,Ei,Ei,"21,60","18,17"
Kotihoito,Ähtäri,Ähtäri,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"39,70","30,06"
Akaan Hoivapalvelu,Akaan Hoivapalvelu Oy,Akaa,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"5,50","1,63"
Kotihoitoyksikön Toijalan ja Viialan palvelualue,Akaa,Akaa,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Ei,Ei,"42,50","31,47"
Palvelualueet 3-4,Akaa,Akaa,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"29,80","30,49"
Kotihoito,Järvi-Pohjanmaan yta,Alajärvi,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,"63,50","57,08"
Alavieskan kotihoito,Peruspalveluky Kallio,Alavieska,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Kyllä,"7,95","5,54"
Kotihoito,Alavus,Alavus,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"53,00","47,55"
Asikkalan kotihoito,Peruspalvelukeskus Oiva,Asikkala,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"26,00","23,64"
Kotipalvelut Eija Bouras Oy,Kotipalvelut Eija Bouras Oy,Asikkala,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Ei yhtäkään,Joskus,Kyllä,Ei,Ei,"8,20","4,57"
Askolan kotihoito,Askola,Askola,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Kyllä,"17,60","12,41"
Kotihoito,Aura,Aura,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Kyllä,Ei,"7,80","8,58"
Kotipalvelu,Enonkoski,Enonkoski,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"7,40","4,97"
"Kotisairaanhoito, Enontekiö",Muonion-Enontekiön ktt.ky,Enontekiö,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Jatkuvasti,Kyllä,Kyllä,Ei,"4,80","1,01"
"Espoo, Helsinki",Hoivaextra Oy,Espoo,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,"7,50","2,50"
Espoon Etelä-Leppävaaran kotihoito,Espoo,Espoo,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"25,00","28,29"
Espoon keskuksen kotihoito,Espoo,Espoo,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"50,00","52,22"
Espoonlahden kotihoito,Espoo,Espoo,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"45,25","41,13"
Etelä-Tapiolan kotihoito,Espoo,Espoo,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"30,00","33,21"
Folkhälsans hemtjänst i Esbo,Folkhälsan Syd Ab,Espoo,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,"0,29","0,29"
Hoivates Oy,Hoivates Oy,Espoo,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Jatkuvasti,Kyllä,Kyllä,Kyllä,"4,00","2,28"
Kotihoito Espoo,Vanhusten Palvelutaloyhdistys ry,Espoo,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,"6,50","4,55"
Kotipalvelu Ykköset Oy,Kotipalvelu Ykköset Oy,Espoo,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"4,60","1,66"
Matinkylä-Olarin kotihoito,Espoo,Espoo,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"30,00","29,75"
Palvelukeskus Puistokartano / palveluyksikkö,Espoon Lähimmäispalveluyhdistys ry,Espoo,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,"10,00","7,36"
Palvelutalo Merikartano / Palveluyksikkö,Espoon Lähimmäispalveluyhdistys ry,Espoo,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,"14,75","14,26"
Pohjois-Tapiolan kotihoito,Espoo,Espoo,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"32,00","27,79"
Viherlaakson kotihoito,Espoo,Espoo,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,"40,60","30,01"
