Kunta,Suunniteltu hoitotyöhön osallistuva henkilöstö,Toteutunut hoivatyöhön osallistuva henkilöstö
Akaa,"77,8","63,59"
Alajärvi,"63,5","57,08"
Alavieska,"8,0","5,54"
Alavus,"53,0","47,55"
Asikkala,"34,2","28,21"
Askola,"17,6","12,41"
Aura,"7,8","8,58"
Enonkoski,"7,4","4,97"
Enontekiö,"4,8","1,01"
Espoo,"300,5","275,30"
Eura,"40,8","36,78"
Eurajoki,"22,9","3,10"
Evijärvi,"17,4","14,78"
Forssa,"83,3","60,39"
Haapajärvi,"33,0","29,32"
Haapavesi,"38,0","26,94"
Hailuoto,"4,1","3,65"
Hamina,"13,8","0,86"
Hankasalmi,"29,0","18,75"
Hanko,"39,2","32,50"
Harjavalta,"27,9","16,07"
Hartola,"17,7","14,66"
Hattula,"27,5","23,37"
Hausjärvi,"20,5","17,16"
Heinola,"60,4","50,30"
Heinävesi,"30,7","29,87"
Helsinki,"1 820,2","1 361,90"
Hollola,"50,3","35,50"
Honkajoki,"8,5","6,71"
Huittinen,"48,0","24,87"
Humppila,"12,0","9,12"
Hyrynsalmi,"14,0","10,79"
Hyvinkää,"127,5","91,42"
Hämeenkoski,"8,0","0,92"
Hämeenkyrö,"20,2","19,70"
Hämeenlinna,"193,1","164,29"
Iisalmi,"70,0","70,27"
Iitti,"38,8","40,33"
Ikaalinen,"26,1","22,20"
Ilmajoki,"28,5","24,39"
Ilomantsi,"38,3","28,04"
Imatra,"108,2","86,43"
Inari,"12,8","10,75"
Inkoo,"16,0","12,35"
Isojoki,"16,0","14,41"
Isokyrö,"21,0","17,66"
Jalasjärvi,"30,6","29,87"
Janakkala,"41,1","38,04"
Joensuu,"251,1","204,55"
Jokioinen,"23,0","19,44"
Joroinen,"31,9","24,04"
Joutsa,"21,2","17,42"
Juankoski,"30,5","25,59"
Juuka,"34,5","23,61"
Juva,"39,8","29,45"
Jyväskylä,"372,7","266,02"
Jämijärvi,"6,5","4,52"
Jämsä,"59,6","57,16"
Järvenpää,"77,2","68,18"
Kaarina,"55,8","47,39"
Kaavi,"13,3","10,44"
Kajaani,"149,8","115,74"
Kalajoki,"53,2","46,73"
Kangasala,"96,9","80,35"
Kangasniemi,"35,5","27,93"
Kankaanpää,"47,7","36,51"
Kannonkoski,"5,5","4,66"
Kannus,"22,2","18,78"
Karkkila,"30,5","26,87"
Karstula,"11,0","10,75"
Kaskinen,"6,0","4,77"
Kauhajoki,"55,8","49,66"
Kauhava,"80,0","75,24"
Kauniainen,"21,0","18,51"
Kaustinen,"31,4","36,78"
Keitele,"7,3","8,97"
Kemi,"71,4","59,34"
Kemijärvi,"30,1","31,30"
Keminmaa,"20,0","20,01"
Kemiönsaari,"30,3","26,37"
Kempele,"33,5","26,64"
Kerava,"48,3","39,52"
Keuruu,"56,4","42,00"
Kihniö,"12,4","3,69"
Kinnula,"4,1","4,06"
Kirkkonummi,"57,0","51,66"
Kitee,"53,7","45,60"
Kittilä,"16,4","18,93"
Kiuruvesi,"59,4","54,07"
Kivijärvi,"3,8","3,76"
Kokemäki,"38,1","26,79"
Kokkola,"134,1","112,95"
