Kunta,Järjestäjä,Fysioterapeutin vakansseja kotihoidossa,Toimintaterapeutin vakansseja kotihoidossa
Akaa,Akaan ja Urjalan yta,0,0
Alajärvi,Järvi-Pohjanmaan yta,0,0
Alavieska,Peruspalveluky Kallio,0,0
Alavus,Alavus,1,0
Asikkala,Peruspalvelukeskus Oiva,0,0
Askola,Askola,1,0
Aura,Aura,0,0
Enonkoski,Enonkoski,"0,4",0
Espoo,Espoo,3,0
Eura,Eura,0,0
Eurajoki,Eurajoki,1,0
Evijärvi,Kuntayhtymä Kaksineuvoinen,0,0
Forssa,Forssan seudun hyvinvointikuntayhtymä,0,0
Haapajärvi,Peruspalveluky Selänne,0,0
Haapavesi,Sosiaali- ja terveyspiiri Helmi,0,0
Hailuoto,Hailuoto,0,0
Hamina,Hamina,2,0
Hankasalmi,Hankasalmi,0,0
Hanko,Hanko,1,0
Harjavalta,Harjavalta,0,0
Hartola,PHSOTEY/Aava,0,0
Hattula,Hattula,1,0
Hausjärvi,Hausjärvi,0,0
Heinola,Heinola,"0,5",0
Heinävesi,Heinävesi,0,0
Helsinki,Helsinki,"10,55","1,2"
Hirvensalmi,"Mikkeli (isäntäkunta), Hirvensalmi ja Puumala","0,25",0
Hollola,Peruspalvelukeskus Oiva,0,0
Honkajoki,Peruspalveluliikelaitos-ky POSA,0,0
Huittinen,Huittinen,"0,2",0
Humppila,Forssan seudun hyvinvointikuntayhtymä,0,0
Hyrynsalmi,Kainuun sosiaali- ja terveydenhuollon kuntayhtymä,0,0
Hyvinkää,Hyvinkää,0,0
Hämeenkoski,Peruspalvelukeskus Oiva,0,0
Hämeenkyrö,Hämeenkyrö,0,0
Hämeenlinna,Hämeenlinna,"6,95",0
Iisalmi,Ylä-Savon sote-ky,0,1
Iitti,PHSOTEY/Aava,0,0
Ikaalinen,Ikaalinen,0,0
Ilmajoki,JIK,0,0
Ilomantsi,Ilomantsi,0,0
Imatra,Imatra,0,0
Inari,Inari,0,0
Inkoo,Inkoo,0,0
Isojoki,Suupohjan peruspalveluliikelaitos-ky,0,0
Isokyrö,Isokyrö,0,0
Jalasjärvi,JIK,0,0
Janakkala,Janakkala,0,0
Joensuu,"Joensuun, Kontiolahden ja Outokummun yta-alue","1,5",0
Jokioinen,Forssan seudun hyvinvointikuntayhtymä,0,0
Joroinen,Varkauden ja Joroisen yta-alue,"0,5",0
Joutsa,Joutsa,"0,6",0
Juankoski,Juankoski,0,0
Juuka,Juuka,0,0
Juva,Juva ja Rantasalmi,0,0
Jyväskylä,Jyväskylä,0,2
Jämijärvi,Peruspalveluliikelaitos-ky POSA,0,0
Jämsä,Jämsän ja Kuhmoisten yta,0,0
Järvenpää,Järvenpää,"2,5",0
Kaarina,Kaarina,0,0
Kaavi,Kaavi,0,0
Kajaani,Kainuun sosiaali- ja terveydenhuollon kuntayhtymä,"1,4",0
Kalajoki,Kalajoen ja Merijärven yta,0,0
Kangasala,Kangasalan ja Pälkäneen yta,1,0
Kangasniemi,Kangasniemi,"0,5",0
Kankaanpää,Peruspalveluliikelaitos-ky POSA,0,0
Kannonkoski,Perusturvaliikelaitos Saarikka,0,0
Kannus,Peruspalveluliikelaitos Jyta,0,0
Karkkila,Perusturva-ky Karviainen,0,0
Karstula,Perusturvaliikelaitos Saarikka,0,0
Kaskinen,Kaskinen,0,0
Kauhajoki,Suupohjan peruspalveluliikelaitos-ky,0,0
Kauhava,Kuntayhtymä Kaksineuvoinen,0,0
Kauniainen,Kauniainen,0,0
Kaustinen,Peruspalveluliikelaitos Jyta,0,0
Keitele,Keitele,0,0
Kemi,Kemi,0,0
