organizer_name_2016,organizer_name_2014,over_75_2015,over_75_2030,over_75_change,municipality_id,municipality_name,organizer_type,organizer_id,county_name,county_id,K107_1,K107_2,K107_3,K107_4,K108_1,K108_2,K108_3,K108_4,K108_5,K109_1,K109_2,K109_3,K109_4,K109_5,K115_1,K115_4,K115_7,K63_2,K63_3,K63_4,K63_5,K63_6,K63_7,K63_8,K62A,K62B,K62D,K62E,K62F,K68_9,K68_10,K48,K93
Akaan ja Urjalan yta,Akaan ja Urjalan yta,9,14.3,62.7,020,Akaa,3,1001,Pirkanmaa,06,0,10,70,20,50,50,0,0,0,0,10,10,60,20,1,1,1,1,5,1,5,4,4,1,3,2,2,1,0,4,4,2,1
Järvi-Pohjanmaan yta,Järvi-Pohjanmaan yta,11.6,17.9,40.6,005,Alajärvi,3,1011,Etelä-Pohjanmaa,14,30,50,10,10,10,80,10,0,0,10,60,20,10,0,0,1,1,1,6,5,1,3,2,1,1,1,2,3,3,1,1,2,1
Peruspalveluky Kallio,Peruspalveluky Kallio,11.6,17,35.7,009,Alavieska,2,1037,Pohjois-Pohjanmaa,17,30,70,0,0,5,70,20,3,2,20,50,20,7,3,0,0,1,1,6,2,1,3,2,1,1,2,2,3,1,3,3,2,1
Kuusiokuntien Sosiaali- ja terveyskuntayhtymä,Alavus,11.7,18.3,41.5,010,Alavus,2,1024,Etelä-Pohjanmaa,14,45,45,10,0,0,100,0,0,0,100,0,0,0,0,0,1,1,3,3,4,1,4,4,3,2,2,2,3,0,1,1,2,0
Peruspalvelukeskus Oiva,Peruspalvelukeskus Oiva,11.9,21.4,73.7,016,Asikkala,3,1035,Päijät-Häme,07,80,20,0,0,100,0,0,0,0,100,0,0,0,0,0,1,1,5,5,1,4,4,4,4,1,1,2,1,1,2,3,3,1
Askola,Askola,6.6,11.9,101.5,018,Askola,1,018,Uusimaa,01,80,10,10,0,20,60,20,0,0,20,60,20,0,0,0,0,0,3,6,4,6,3,3,2,2,2,2,3,3,2,1,2,1
Aura,Aura,6.6,12.3,98.1,019,Aura,1,019,Varsinais-Suomi,02,100,0,0,0,10,90,0,0,0,50,50,0,0,0,0,0,0,1,6,1,4,4,4,1,1,2,2,0,0,1,1,2,1
Itä-Savon sairaanhoitopiirin ky,Enonkoski,16,24.5,33.5,046,Enonkoski,2,1070,Etelä-Savo,10,0,100,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,6,1,2,6,4,4,1,1,2,2,1,1,2,1,3,1
Enontekiö,Enontekiö,9.2,18,110.5,047,Enontekiö,1,047,Lappi,19,50,20,29,1,50,40,10,0,0,80,20,0,0,0,1,1,0,5,5,4,1,3,4,1,2,2,2,1,2,2,2,2,1
Espoo,Espoo,5.1,9.5,119.3,049,Espoo,1,049,Uusimaa,01,100,0,0,0,85,15,0,0,0,80,10,5,4,1,0,0,1,6,1,1,1,3,3,1,1,1,2,2,1,2,2,1,1
