Kunta,s_5_q_3a,s_5_q_3b
Akaa,72.3,61.96
Alajärvi,63.5,57.08
Alavieska,7.95,5.54
Alavus,53,47.55
Asikkala,26,23.64
Askola,17.6,12.41
Aura,7.8,8.58
Enonkoski,7.4,4.97
Enontekiö,4.8,1.01
Espoo,252.85,242.4
Eura,40.8,36.78
Eurajoki,19.8,ei tietoa
Evijärvi,17.4,14.78
Forssa,77.4,55.42
Haapajärvi,32.95,29.32
Haapavesi,38,26.94
Hailuoto,4.05,3.65
Hamina,5.05,ei tietoa
Hankasalmi,29,18.75
Hanko,39.15,32.5
Harjavalta,27.9,16.07
Hartola,17.7,14.66
Hattula,27.5,23.37
Hausjärvi,20.5,17.16
Heinola,57.1,49.27
Heinävesi,30.65,29.87
Helsinki,1643.3,1260.66
Hollola,42,31.14
Honkajoki,8.45,6.71
Huittinen,48,24.87
Humppila,12,9.12
Hyrynsalmi,14,10.79
Hyvinkää,127.5,91.42
Hämeenkoski,8,0.92
Hämeenkyrö,20.2,19.7
Hämeenlinna,167.45,142.89
Iisalmi,70,70.27
Iitti,38.8,40.33
Ikaalinen,26.1,22.2
Ilmajoki,28.5,24.39
Ilomantsi,38.3,28.04
Imatra,56,45.45
Inari,12.8,10.75
Inkoo,16,12.35
Isojoki,16,14.41
Isokyrö,21,17.66
Jalasjärvi,30.6,29.87
Janakkala,39,36.56
Joensuu,205.4,170.26
Jokioinen,23,19.44
Joroinen,31.9,24.04
Joutsa,21.15,17.42
Juankoski,27,22.61
Juuka,34.45,23.61
Juva,32,24.88
Jyväskylä,250.43,168.01
Jämijärvi,6.5,4.52
Jämsä,54.98,53.73
Järvenpää,67.1,63.43
Kaarina,55.75,47.39
Kaavi,13.3,10.44
Kajaani,138.6,106.36
Kalajoki,53.2,46.73
Kangasala,96.9,80.35
Kangasniemi,35.5,27.93
Kankaanpää,47.65,36.51
Kannonkoski,5.5,4.66
Kannus,22.2,18.78
Karkkila,30.5,26.87
Karstula,11,10.75
Kaskinen,6,4.77
Kauhajoki,55.8,49.66
Kauhava,80,75.24
Kauniainen,21,18.51
Kaustinen,31.35,36.78
Keitele,7.3,8.97
Kemi,71.4,59.34
Kemijärvi,30.1,31.3
Keminmaa,20,20.01
Kemiönsaari,28.68,24.01
Kempele,29.95,23.98
Kerava,48.3,39.52
Keuruu,47.5,36.1
Kihniö,11.35,2.71
Kinnula,4.1,4.06
Kirkkonummi,54,50.52
Kitee,43.05,38.57
Kittilä,16.43,18.93
Kiuruvesi,45.4,46.75
Kivijärvi,3.8,3.76
Kokemäki,38.1,26.79
Kokkola,103.63,88.81
Kolari,20,19.08
Konnevesi,22,18.37
Kontiolahti,16.05,19.39
Korsnäs,11.06,9.1
Koski Tl,10.4,10.12
Kotka,153.05,113.59
Kouvola,352.85,267.15
Kruunupyy,37.8,31.55
Kuhmo,53.5,44.49
Kuhmoinen,19.8,16.3
Kuopio,304.5,241.22
Kuortane,13.12,15.42
Kurikka,44,41.45
Kustavi,4.75,4.84
Kuusamo,35.5,29.7
Kyyjärvi,6.4,2.61
Kärkölä,12,6.18
Kärsämäki,12.05,10.69
Köyliö,13.75,12.67
Lahti,224.35,189.16
Laihia,21.55,18.63
Laitila,27.75,24.09
Lapinjärvi,7.34,4.78
Lapinlahti,40.6,35.14
Lappajärvi,9.69,9.62
Lappeenranta,223.8,175.98
Lapua,23.95,23.89
Laukaa,51.8,40.67
Lavia,10,5.66
Lemi,15.2,14.2
Lempäälä,38.4,13.21
Leppävirta,36.9,32.14
Lieksa,69.75,66.26
Lieto,39.6,30.67
Liminka,21.05,18.69
Liperi,21.7,18.89
Lohja,131.8,113.07
Loimaa,81.1,73.13
Loppi,25.35,19.37
Loviisa,57.1,55.45
Luhanka,5.5,4.37
Lumijoki,3,3.33
Luoto,10.25,7.61
Luumäki,26.85,23.54
Luvia,11.39,10.17
Maalahti,26.47,20.97
Maaninka,16.65,13.27
Marttila,6,5.78
Merikarvia,17,13.05
Miehikkälä,19,16.4
Mikkeli,173.2,95.02
Muhos,26,21.52
Multia,13.55,9.53
Muonio,6,4.32
Mustasaari,97.47,74.24
Muurame,11.2,9.37
Mynämäki,27.5,21.82
Myrskylä,10.55,8.79
Mäntsälä,18.3,17.57
Mänttä-Vilppula,45,38.35
Mäntyharju,41.1,42.97
Naantali,49.8,44.02
Nakkila,16.4,11.85
Nastola,29.8,27.25
Nivala,37,29.36
Nokia,91.55,72.34
Nousiainen,7.1,7.3
Nurmes,41,34.01
Nurmijärvi,72,64.72
Närpiö,47.6,42.87
Orimattila,35.9,29.38
Oripää,5.6,5.47
Oulainen,28.8,28.44
Oulu,364.95,260.09
Outokumpu,37.05,35.64
Padasjoki,11,10.32
Paimio,21.5,21.91
Paltamo,27.4,23.85
Parainen,74.15,56.96
Parikkala,43.15,35.81
Parkano,26.05,23.12
Pelkosenniemi,4.4,1.99
Pello,25.2,23.23
Pertunmaa,11,10.23
Petäjävesi,10.1,9.49
Pieksämäki,70.3,57.84
Pielavesi,23.1,20.57
Pietarsaari,77,67.38
Pihtipudas,28.5,24.22
Pirkkala,37.4,29.45
Polvijärvi,10,ei tietoa
Pomarkku,17.25,7.36
Pori,253.4,212.99
Pornainen,8.33,8.7
Porvoo,84,80.08
Posio,17,16.14
Pudasjärvi,44.5,44.3
Pukkila,5.2,5.11
Puumala,13.15,ei tietoa
Pyhtää,14,12.48
Pyhäjoki,13.7,14.22
Pyhäjärvi,49,45.02
Pyhäntä,8,8.44
Pälkäne,31.05,20.19
Pöytyä,29.6,24.19
Raahe,103.1,56.74
Raasepori,83.15,68.95
Raisio,80.7,71.25
Rantasalmi,23.8,20.99
Ranua,20.35,18.68
Rauma,99.15,72.75
Rautalampi,24.1,15.18
Rautavaara,12,10.88
Rautjärvi,65.3,19.16
Reisjärvi,11.5,11.61
Riihimäki,73.7,63.98
Ristijärvi,14.05,9.79
Ruokolahti,21.6,20.71
Ruovesi,38.5,31
Saarijärvi,20.15,15.71
Salla,23,25.02
Salo,172.05,157.01
Sastamala,129.5,ei tietoa
Sauvo,8.5,7.32
Savitaipale,15.8,18.31
Savonlinna,164.5,127.19
Savukoski,3.75,2.55
Seinäjoki,127.95,124.3
Sievi,23,17.86
Siikainen,10.25,8.58
Siikajoki,29.85,25.14
Siikalatva,33.78,31.35
Siilinjärvi,43,39.17
Simo,18.02,15.64
Sipoo,44.8,35.76
Somero,42.5,32.45
Sonkajärvi,25.55,22.65
Sotkamo,56.25,41.14
Sulkava,16.95,12.73
Suomussalmi,48.3,39.28
Suonenjoki,29,24.38
Sysmä,21.83,18.57
Säkylä,19,ei tietoa
Taipalsaari,17.3,16.35
Taivalkoski,4.2,4.64
Taivassalo,6.4,ei tietoa
Tammela,34.2,24.66
Tampere,393.92,299.58
Tarvasjoki,7,6.43
Tervo,11.25,10.3
Tervola,13,6.97
Teuva,34.4,32.16
Toholampi,14.4,11.24
Toivakka,7,6.67
Tornio,87.5,109.72
Turku,455.93,416.92
Tuusniemi,19.5,14.52
Tuusula,53.55,42.55
Tyrnävä,12.6,11.43
Ulvila,45.15,31.72
Utajärvi,11.5,9.21
Utsjoki,2.8,0.3
Uurainen,8.6,7.28
Uusikaarlepyy,34.8,13.16
Uusikaupunki,57.05,48.96
Vaala,18.5,18.75
Vaasa,223.8,193.35
Valkeakoski,45,37.6
Valtimo,18,13.97
Vantaa,197.4,159.2
Varkaus,81,70.08
Vehmaa,9.05,9.51
Vesanto,26.6,18.69
Vesilahti,13.9,13.83
Vieremä,15.65,11
Vihti,47.88,46.08
Viitasaari,36,31.24
Virrat,29,26.19
Vöyri,13.5,11.82
Ylitornio,29,25.31
Ylivieska,28.95,26.41
Ylöjärvi,71.9,57.01
Ypäjä,10.6,8.51
Ähtäri,39.7,30.06
Äänekoski,53.2,42.03
